tweet;waktu;user
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sun Apr 19 00:52:11 +0000 2020;Jaidun02
"RT @Syuhada8__: Gak Malu Kelen rezim ( yang hanya bisa cuap cuap ) !!

Via : @idtodayco

Bocah kelas 3 SD sumbangkan Tabungan untuk pengada…";Sun Apr 19 00:50:58 +0000 2020;Jaidun02
"RT @Mbobz17: Mana surat rekomendasinya pak???

#CoronaBungkamSkandalKorupsi

https://t.co/PDi60alpMZ";Sun Apr 19 00:47:49 +0000 2020;Adjiesupergates
"RT @MudjiburRohman: ?S??t??a??f??s??u??s?
#CoronaBungkamSkandalKorupsi https://t.co/W6ptvsWA8z";Sun Apr 19 00:45:26 +0000 2020;KartikoVianto
"@detikcom Bah..... Luhut lagi..... 
#CoronaBungkamSkandalKorupsi #stopomnibuslawketenagakerjaan";Sun Apr 19 00:34:06 +0000 2020;bambanggeterosh
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sun Apr 19 00:22:48 +0000 2020;JSuhendarTea1
Sdh mulai kok... Media mulai memframing aksi demo di Amerika menyangkut lockdown yg tidak ada kepastian.... Dan itu… https://t.co/rPIKI0bHnK;Sun Apr 19 00:07:22 +0000 2020;himura89517038
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sun Apr 19 00:06:34 +0000 2020;Gajahmada141
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sun Apr 19 00:06:19 +0000 2020;Gajahmada141
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 23:58:18 +0000 2020;arena51
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 23:45:45 +0000 2020;Mbah_Jadul
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 23:40:00 +0000 2020;nasgortrasi
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 23:33:41 +0000 2020;MSyam_ilwa
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 23:29:09 +0000 2020;Unyil_Lanang33
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 23:28:44 +0000 2020;Emsubhi1
ditengah badai Corona, tapi masih saja mempertontonkan KKN yang tak ada kaitannya dengan keselamatan rakyat yang te… https://t.co/J8Hl8NSMwQ;Sat Apr 18 23:22:42 +0000 2020;gusmawan31
"@rockygerung_rg Oaalaahhh to mbakyu @LunaMaya26 ??????
Sebelumnya buzzer artis drunken master......… https://t.co/YGWQaxLvEb";Sat Apr 18 23:12:59 +0000 2020;Djoe_Natha
"RT @MudjiburRohman: ?S??t??a??f??s??u??s?
#CoronaBungkamSkandalKorupsi https://t.co/W6ptvsWA8z";Sat Apr 18 23:08:28 +0000 2020;paimin_kang
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 23:08:13 +0000 2020;abdulrtah
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 23:06:53 +0000 2020;Yosmen
@suara_dahlanis @gunaditaufiq @harychandra091 @Toperendusara1 @aniesbaswedan @Ruasi income nol, mau punya rumah ga… https://t.co/63isteCPXU;Sat Apr 18 22:59:55 +0000 2020;khoyrot
"RT @abun___: #CoronaBungkamSkandalKorupsi
#CoronaBungkamSkandalKorupsi

Pak polisi Kalian sebenarnya pelayan dan pengayom rakyat atau alat…";Sat Apr 18 22:59:33 +0000 2020;FengFuha
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 22:37:47 +0000 2020;asysyamil
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 22:31:31 +0000 2020;Hartanto_H
"Hati hati Jangan KENTUT sembarangan!! 
#CoronaBungkamSkandalKorupsi
#coronavirus
#LawanMafiaKesehatan
https://t.co/hpJjPvoxiS";Sat Apr 18 21:58:37 +0000 2020;Soleh411212
"RT @donat_merica__: Cuma punya ini
Ya udah di up aja
????
#CoronaBungkamSkandalKorupsi https://t.co/w8ppsUG8lD";Sat Apr 18 20:53:43 +0000 2020;PemburuHantu12
"RT @ekonomi_jeblok: Prediksi 8.000 Warga Akan Kena Corona, Anies Buat Tempat Isolasi di GOR|
BEDA MEMANG
Salut..antisipasi sdh dilakukan, d…";Sat Apr 18 20:49:15 +0000 2020;eijk82
"RT @AtLaevigata: Lenyap dari peredaran. Semua sampai detik ini bertekuk lutut tidak mampu mencari Harun Masiku
Harusnya dalam menghadapi Co…";Sat Apr 18 20:32:53 +0000 2020;AlFatih68231928
